t,V,I
16839,3.6885,-0.000961779
16869,3.6885,-0.000961806
16899,3.68856,-0.000961806
16929,3.68849,-0.000961833
16959,3.68855,-0.000961833
16989,3.68863,-0.000961887
17019,3.68861,-0.000961806
17049,3.68859,-0.00096186
17079,3.68863,-0.00096186
17109,3.68862,-0.000961806
17139,3.68873,-0.00096186
17149,3.22653,-3.00266
17159,3.20018,-3.00276
17169,3.18114,-3.00263
17179,3.16718,-3.0029
17189,3.15622,-3.00271
17199,3.1473,-3.00274
17209,3.13972,-3.00289
17219,3.13306,-3.00251
17229,3.12705,-3.00264
17239,3.12198,-3.00259
17249,3.11723,-3.00255
17259,3.1126,-3.00271
17269,3.10835,-3.00269
17279,3.10412,-3.00279
17289,3.10029,-3.00239
17299,3.09639,-3.00249
17309,3.09254,-3.00255
17319,3.08899,-3.00263
17329,3.08533,-3.00242
17339,3.08191,-3.00278
17349,3.07843,-3.00286
17359,3.075,-3.00257
17369,3.07147,-3.00254
17379,3.06783,-3.00274
17389,3.06443,-3.00282
17399,3.0608,-3.00292
17409,3.05751,-3.00274
17419,3.05399,-3.00266
17429,3.0504,-3.00268
17439,3.04707,-3.0025
17449,3.04383,-3.00271
17459,3.0405,-3.00272
17469,3.0374,-3.00276
17479,3.03398,-3.00266
17489,3.03057,-3.00286
17499,3.02579,-3.00289
17529,3.51461,-0.00091989
17559,3.53447,-0.000922791
17589,3.54135,-0.000923957
17619,3.54449,-0.000924526
17649,3.5462,-0.000924906
17679,3.54727,-0.000925123
17709,3.54808,-0.00092534
17739,3.54853,-0.00092534
17769,3.54895,-0.000925448
17799,3.54926,-0.00092553
17829,3.54956,-0.000925584
17859,3.54979,-0.000925747
17889,3.55001,-0.000925774
17919,3.5502,-0.000925747
17949,3.55041,-0.000925828
17979,3.55044,-0.000925774
18009,3.55062,-0.000925746
18039,3.55067,-0.000925882
18069,3.5509,-0.000925909
18099,3.55094,-0.000925991
18129,3.55111,-0.000926018
18159,3.55121,-0.00092599
18189,3.55126,-0.00092599
18219,3.55135,-0.00092599
18249,3.55139,-0.000926099
18279,3.55151,-0.000926126
18309,3.55159,-0.000926045
18339,3.55165,-0.000926126
18369,3.55168,-0.000926126
18399,3.55169,-0.000926045
18429,3.55182,-0.000926126
18459,3.55185,-0.00092618
18489,3.55192,-0.000926207
18519,3.55198,-0.000926262
18549,3.55201,-0.000926235
18579,3.55206,-0.000926235
18609,3.55212,-0.000926397
18639,3.55216,-0.000926262
18669,3.55221,-0.000926207
18699,3.55223,-0.000926234
18729,3.55229,-0.000926316
18759,3.55231,-0.000926235
18789,3.55233,-0.000926316
18819,3.55237,-0.000926289
18849,3.55233,-0.000926262
18879,3.55233,-0.000926316
18909,3.55243,-0.000926289
18939,3.55246,-0.000926343
18969,3.55251,-0.000926343
18999,3.55255,-0.000926424
19029,3.55254,-0.000926343
19059,3.55262,-0.000926397
19089,3.55266,-0.00092637
19119,3.55274,-0.000926397
19149,3.55275,-0.000926451
19179,3.55273,-0.00092637
19209,3.55274,-0.000926451
19239,3.55275,-0.000926397
19269,3.55279,-0.00092637
19299,3.55273,-0.000926397
19309,3.09137,-3.0028
19319,3.06448,-3.00268
19329,3.04342,-3.00275
19339,3.02812,-3.00267
19349,3.01636,-3.00248
19359,3.0072,-3.00263
19369,2.99948,-3.00259
19379,2.99313,-3.00257
19389,2.98786,-3.00263
19399,2.98319,-3.00268
19409,2.97923,-3.00266
19419,2.97551,-3.00264
19429,2.9718,-3.00265
19439,2.96828,-3.00261
19449,2.96451,-3.00271
19459,2.961,-3.00276
19469,2.95715,-3.00265
19479,2.95324,-3.00281
19489,2.94935,-3.00259
19499,2.94569,-3.0028
19509,2.94172,-3.00256
19519,2.93803,-3.00254
19529,2.93424,-3.00265
19539,2.93035,-3.00272
19549,2.92647,-3.00259
19559,2.92248,-3.0026
19569,2.91833,-3.00269
19579,2.91432,-3.00269
19589,2.91031,-3.00269
19599,2.90613,-3.00269
19609,2.90192,-3.00283
19619,2.89789,-3.00288
19629,2.89383,-3.00275
19639,2.88959,-3.00274
19649,2.88535,-3.00273
19659,2.87908,-3.00269
19689,3.37176,-0.00088299
19719,3.39377,-0.000886163
19749,3.40166,-0.000887654
19779,3.40592,-0.000888494
19809,3.40862,-0.000889037
19839,3.41044,-0.000889498
19869,3.4119,-0.00088985
19899,3.41295,-0.000890121
19929,3.41393,-0.000890284
19959,3.41479,-0.000890582
19989,3.4155,-0.000890636
20019,3.41616,-0.000890799
20049,3.41668,-0.000890907
20079,3.41717,-0.000891097
20109,3.41766,-0.000891233
20139,3.41797,-0.000891233
20169,3.41839,-0.000891504
20200,3.41871,-0.000891422
20230,3.41902,-0.000891666
20260,3.41933,-0.000891612
20290,3.41963,-0.000891694
20320,3.41987,-0.000891829
20350,3.42022,-0.000891856
20380,3.42032,-0.000891856
20410,3.42052,-0.000892046
20440,3.42075,-0.000892046
20470,3.42106,-0.000892154
20500,3.42117,-0.000892127
20530,3.42132,-0.0008921
20560,3.42155,-0.000892263
20590,3.42175,-0.000892236
20620,3.42196,-0.000892317
20650,3.42206,-0.000892236
20680,3.42214,-0.000892453
20710,3.42235,-0.00089248
20740,3.42246,-0.00089248
20770,3.4226,-0.000892534
20800,3.42274,-0.000892398
20830,3.42286,-0.000892534
20860,3.42298,-0.00089248
20890,3.42306,-0.000892507
20920,3.42319,-0.000892534
20950,3.42335,-0.000892534
20980,3.42354,-0.00089267
21010,3.42363,-0.000892778
21040,3.42371,-0.000892778
21070,3.42374,-0.000892751
21100,3.4238,-0.000892778
21130,3.42386,-0.000892887
21160,3.42393,-0.000892751
21190,3.4241,-0.000892941
21220,3.42426,-0.000892832
21250,3.42432,-0.000892887
21280,3.42437,-0.000892914
21310,3.4245,-0.000892968
21340,3.42457,-0.000892941
21370,3.42458,-0.000893022
21400,3.42464,-0.000893022
21430,3.42473,-0.000893049
21460,3.42474,-0.000893022
21470,2.95799,-3.00241
21480,2.92242,-3.00259
21490,2.89196,-3.00289
21500,2.8698,-3.00275
21510,2.85203,-3.00263
21520,2.84077,-3.00273
21530,2.83353,-3.00268
21540,2.82857,-3.00267
21550,2.82491,-3.0026
21560,2.82152,-3.00261
21570,2.81799,-3.00257
21580,2.81431,-3.00253
21590,2.81076,-3.00274
21600,2.80684,-3.00281
21610,2.8026,-3.00256
21620,2.79862,-3.00252
21630,2.79411,-3.00266
21640,2.78964,-3.00266
21650,2.78526,-3.00262
21660,2.78072,-3.00266
21670,2.77641,-3.00261
21680,2.77173,-3.00278
21690,2.76742,-3.0027
21700,2.76317,-3.00268
21710,2.75909,-3.0028
21720,2.75483,-3.0027
21730,2.75009,-3.00259
21740,2.74574,-3.00264
21750,2.74129,-3.0026
21760,2.73677,-3.00282
21770,2.73224,-3.00273
21780,2.7278,-3.00245
21790,2.72296,-3.0026
21800,2.71868,-3.00289
21810,2.714,-3.00259
21820,2.70794,-3.00278
21850,3.21251,-0.000842539
21880,3.23958,-0.000846226
21910,3.2491,-0.000847962
21940,3.25389,-0.000848938
21970,3.25718,-0.000849724
22000,3.25943,-0.00085013
22030,3.26124,-0.000850537
22060,3.26262,-0.000850917
22090,3.26373,-0.000851161
22120,3.26474,-0.000851405
22150,3.26559,-0.000851622
22180,3.26638,-0.000851812
22210,3.26701,-0.000851974
22240,3.26761,-0.00085211
22270,3.2682,-0.000852191
22300,3.26864,-0.000852381
22330,3.26906,-0.000852516
22360,3.26955,-0.000852571
22390,3.26994,-0.000852733
22420,3.27023,-0.000852842
22450,3.27063,-0.000852896
22480,3.27095,-0.000852977
22510,3.27135,-0.000853086
22540,3.27153,-0.00085314
22570,3.27178,-0.00085314
22600,3.27218,-0.00085333
22630,3.27239,-0.000853384
22660,3.27259,-0.000853384
22690,3.27284,-0.000853438
22720,3.27306,-0.000853465
22750,3.27326,-0.000853547
22780,3.27348,-0.000853574
22810,3.27361,-0.000853628
22840,3.27387,-0.000853682
22870,3.27404,-0.000853682
22900,3.27416,-0.000853818
22930,3.2744,-0.000853872
22960,3.27456,-0.000853926
22990,3.27468,-0.000853899
23020,3.27488,-0.000853926
23050,3.27494,-0.000854008
23080,3.27513,-0.000853981
23110,3.27527,-0.000854062
23140,3.27546,-0.000854062
23170,3.27555,-0.000854116
23200,3.27561,-0.000854062
23230,3.2758,-0.000854197
23260,3.27589,-0.000854252
23290,3.27611,-0.000854387
23320,3.27615,-0.000854252
23350,3.27636,-0.000854333
23380,3.27641,-0.00085436
23410,3.27649,-0.00085436
23440,3.27654,-0.000854414
23470,3.27667,-0.000854441
23500,3.27675,-0.000854387
23530,3.27686,-0.00085436
23560,3.27695,-0.000854468
23590,3.27715,-0.000854523
23620,3.2773,-0.000854577
23630,2.79386,-3.00256
23640,2.74925,-3.00255
23650,2.71005,-3.00271
23660,2.68192,-3.00254
23670,2.66486,-3.00272
23680,2.65455,-3.00276
23690,2.64814,-3.00264
23700,2.6436,-3.00257
23710,2.63968,-3.00245
23720,2.63572,-3.00261
23730,2.63161,-3.00286
23740,2.62716,-3.00276
23750,2.62248,-3.00256
23760,2.61744,-3.00266
23770,2.61266,-3.00251
23780,2.60782,-3.00254
23790,2.60248,-3.00271
23800,2.59705,-3.00264
23810,2.59136,-3.00265
23820,2.58564,-3.0026
23830,2.57987,-3.00261
23840,2.57384,-3.00247
23850,2.56774,-3.0026
23860,2.56144,-3.00265
23870,2.55513,-3.00255
23880,2.54874,-3.00231
23890,2.54238,-3.00267
23900,2.53552,-3.00252
23910,2.52811,-3.00259
23920,2.52075,-3.00265
23930,2.51288,-3.00261
23940,2.50494,-3.00273
23942,2.49978,-3.00254
23972,3.02923,-0.000796665
24002,3.06845,-0.000802169
24032,3.08142,-0.000804501
24062,3.08846,-0.000805965
24092,3.09313,-0.000806995
24122,3.09652,-0.000807836
24152,3.09919,-0.000808378
24182,3.1014,-0.000808839
24212,3.1032,-0.000809327
24242,3.1048,-0.000809761
24272,3.10611,-0.000810167
24302,3.10732,-0.000810357
24332,3.10833,-0.000810655
24362,3.10926,-0.00081098
24392,3.11011,-0.000811089
24422,3.11095,-0.000811306
24452,3.11163,-0.000811468
24482,3.11239,-0.000811604
24512,3.11309,-0.000811848
24542,3.11363,-0.000811929
24572,3.11417,-0.000812092
24602,3.11471,-0.000812255
24632,3.11517,-0.000812445
24662,3.11561,-0.000812445
24692,3.11619,-0.000812661
24722,3.11654,-0.000812716
24752,3.11695,-0.000812824
24782,3.11739,-0.000812905
24812,3.11769,-0.000813014
24842,3.11812,-0.000813095
24872,3.11846,-0.000813204
24902,3.11871,-0.000813285
24932,3.11905,-0.000813394
24962,3.11935,-0.000813448
24992,3.11966,-0.000813448
25022,3.11986,-0.000813556
25052,3.1202,-0.000813665
25082,3.12047,-0.0008138
25112,3.12077,-0.000813827
25142,3.12104,-0.000813909
25172,3.12127,-0.000813963
25202,3.12147,-0.00081399
25232,3.12172,-0.00081399
25262,3.12192,-0.000814071
25292,3.12211,-0.000814098
25322,3.12234,-0.000814153
25352,3.1226,-0.000814261
25382,3.12275,-0.000814288
25412,3.12303,-0.000814234
25442,3.12315,-0.000814397
25472,3.1234,-0.000814532
25502,3.12356,-0.000814532
25532,3.12372,-0.000814505
25562,3.12391,-0.000814559
25592,3.12408,-0.000814586
25622,3.12428,-0.000814668
25652,3.12445,-0.000814722
25682,3.12459,-0.000814749
25712,3.12476,-0.00081483
25742,3.12498,-0.000814857
25752,2.62097,-3.00236
25762,2.55499,-3.00259
25768,2.49468,-3.0025
25798,3.00649,-0.000788749
25828,3.03356,-0.000792626
25858,3.04405,-0.000794632
25888,3.05023,-0.000795934
25918,3.05461,-0.000796991
25949,3.0579,-0.00079775
25979,3.06064,-0.000798374
26009,3.06282,-0.000798916
26039,3.06479,-0.000799404
26069,3.06656,-0.000799811
26099,3.06795,-0.000800136
26129,3.06938,-0.000800515
26159,3.07063,-0.000800787
26189,3.0716,-0.000801085
26219,3.07265,-0.000801356
26249,3.07362,-0.000801491
26279,3.07453,-0.000801871
26309,3.07537,-0.000802061
26339,3.07612,-0.000802224
26369,3.07688,-0.00080244
26399,3.07751,-0.000802522
26429,3.0781,-0.000802739
26459,3.07886,-0.000802928
26489,3.07934,-0.00080301
26519,3.07992,-0.000803145
26549,3.08042,-0.000803281
26579,3.08098,-0.000803471
26609,3.08146,-0.000803579
26639,3.08189,-0.000803715
26669,3.08237,-0.000803796
26699,3.08282,-0.000803932
26729,3.08315,-0.000804067
26759,3.08365,-0.000804094
26789,3.08399,-0.00080423
26819,3.08444,-0.000804311
26849,3.08476,-0.000804365
26879,3.08514,-0.000804447
26909,3.08557,-0.000804582
26939,3.08584,-0.000804718
26969,3.08626,-0.000804718
26999,3.08652,-0.00080488
27029,3.08676,-0.000804989
27059,3.08712,-0.000805016
27089,3.08736,-0.00080507
27119,3.08771,-0.000805097
27149,3.088,-0.000805179
27179,3.08826,-0.000805314
27209,3.08861,-0.000805477
27239,3.08875,-0.000805423
27269,3.08911,-0.000805504
27299,3.08936,-0.000805613
27329,3.08959,-0.000805667
27359,3.08976,-0.000805748
27389,3.09005,-0.000805802
27419,3.09027,-0.000805829
27449,3.09053,-0.000805938
27479,3.09074,-0.000805965
27509,3.09101,-0.000806073
27539,3.09119,-0.000806155
27569,3.0915,-0.000806128
27579,2.59097,-3.00249
27587,2.49874,-3.0025
27617,2.99502,-0.00078498
27647,3.01774,-0.000788233
27677,3.02646,-0.00078986
27707,3.03175,-0.000791161
27737,3.03551,-0.00079192
27767,3.03855,-0.000792571
27797,3.04105,-0.000793222
27827,3.0431,-0.00079371
27857,3.04487,-0.000794171
27887,3.04657,-0.000794605
27917,3.04798,-0.00079493
27947,3.04924,-0.000795255
27977,3.05045,-0.000795418
28007,3.05156,-0.000795879
28037,3.05264,-0.000796123
28067,3.05354,-0.000796367
28097,3.05437,-0.000796611
28127,3.05527,-0.000796747
28157,3.05594,-0.000796991
28187,3.05669,-0.000797099
28217,3.05736,-0.000797343
28247,3.05803,-0.000797506
28277,3.05871,-0.000797641
28307,3.05932,-0.000797885
28337,3.05989,-0.000797967
28367,3.06046,-0.000798048
28397,3.06101,-0.000798292
28427,3.06146,-0.000798319
28457,3.06196,-0.000798536
28487,3.06244,-0.000798644
28517,3.06287,-0.000798753
28547,3.06336,-0.00079878
28577,3.06373,-0.000798943
28607,3.06419,-0.000799078
28637,3.06455,-0.000798997
28667,3.06498,-0.000799268
28697,3.06537,-0.000799376
28727,3.06579,-0.000799539
28757,3.06615,-0.000799566
28787,3.06642,-0.000799593
28817,3.06679,-0.000799648
28847,3.06709,-0.00079981
28877,3.06739,-0.000799919
28907,3.06764,-0.000799892
28937,3.06809,-0.000800027
28967,3.06834,-0.000800163
28997,3.06858,-0.000800244
29027,3.0689,-0.000800217
29057,3.06916,-0.00080038
29087,3.06947,-0.000800461
29117,3.06978,-0.000800488
29147,3.06998,-0.000800488
29177,3.07028,-0.000800624
29207,3.0705,-0.000800624
29237,3.07076,-0.000800786
29267,3.07101,-0.000800841
29297,3.07119,-0.000800841
29327,3.07137,-0.000800949
29357,3.07166,-0.000801139
29387,3.07206,-0.000801057
