"","Channel 7 Ave. (C)"
"00:24:00","5.019"
"00:24:10","5.154"
"00:24:20","5.102"
"00:24:30","5.170"
"00:24:40","5.293"
"00:24:50","5.310"
"00:25:00","5.346"
"00:25:10","5.322"
"00:25:20","5.353"
"00:25:30","5.437"
"00:25:40","5.422"
"00:25:50","5.502"
"00:26:00","5.552"
"00:26:10","5.620"
"00:26:20","5.647"
"00:26:30","5.673"
"00:26:40","5.691"
"00:26:50","5.730"
"00:27:00","5.751"
"00:27:10","5.768"
"00:27:20","5.788"
"00:27:30","5.835"
"00:27:40","5.846"
"00:27:50","5.906"
"00:28:00","5.929"
"00:28:10","5.916"
"00:28:20","5.981"
"00:28:30","5.997"
"00:28:40","6.002"
"00:28:50","6.046"
"00:29:00","6.059"
"00:29:10","6.091"
"00:29:20","6.112"
"00:29:30","6.103"
"00:29:40","6.112"
"00:29:50","6.150"
"00:30:00","6.161"
"00:30:10","6.161"
"00:30:20","6.095"
"00:30:30","5.919"
"00:30:40","5.715"
"00:30:50","5.517"
"00:31:00","5.379"
"00:31:10","5.227"
"00:31:20","4.949"
"00:31:30","4.568"
"00:31:40","4.208"
"00:31:50","3.891"
"00:32:00","3.768"
"00:32:10","3.931"
"00:32:20","3.848"
"00:32:30","3.764"
"00:32:40","3.894"
"00:32:50","3.742"
"00:33:00","3.535"
"00:33:10","3.402"
"00:33:20","3.425"
"00:33:30","3.305"
"00:33:40","3.403"
"00:33:50","3.541"
"00:34:00","3.521"
"00:34:10","3.531"
"00:34:20","3.470"
"00:34:30","3.412"
"00:34:40","3.347"
"00:34:50","3.363"
"00:35:00","3.282"
"00:35:10","3.181"
"00:35:20","3.156"
"00:35:30","3.220"
"00:35:40","3.158"
"00:35:50","3.128"
"00:36:00","3.103"
"00:36:10","3.106"
"00:36:20","3.079"
"00:36:30","3.037"
"00:36:40","3.026"
"00:36:50","2.985"
"00:37:00","2.953"
"00:37:10","2.930"
"00:37:20","2.924"
"00:37:30","2.903"
"00:37:40","2.896"
"00:37:50","2.882"
"00:38:00","2.865"
"00:38:10","2.848"
"00:38:20","2.830"
"00:38:30","2.812"
"00:38:40","2.801"
"00:38:50","2.797"
"00:39:00","2.790"
"00:39:10","2.775"
"00:39:20","2.790"
"00:39:30","2.747"
"00:39:40","2.762"
"00:39:50","2.721"
"00:40:00","2.679"
"00:40:10","2.694"
"00:40:20","2.688"
"00:40:30","2.641"
"00:40:40","2.519"
"00:40:50","2.313"
"00:41:00","2.109"
"00:41:10","1.937"
"00:41:20","1.733"
"00:41:30","1.465"
"00:41:40","1.078"
"00:41:50","0.579"
"00:42:00","0.147"
"00:42:10","0.087"
"00:42:20","-0.019"
"00:42:30","-0.202"
"00:42:40","-0.249"
"00:42:50","-0.128"
"00:43:00","-0.056"
"00:43:10","-0.149"
"00:43:20","-0.415"
"00:43:30","-0.424"
"00:43:40","-0.395"
"00:43:50","-0.346"
"00:44:00","-0.351"
"00:44:10","-0.371"
"00:44:20","-0.381"
"00:44:30","-0.445"
"00:44:40","-0.480"
"00:44:50","-0.556"
"00:45:00","-0.634"
"00:45:10","-0.614"
"00:45:20","-0.664"
"00:45:30","-0.698"
"00:45:40","-0.762"
"00:45:50","-0.785"
"00:46:00","-0.747"
"00:46:10","-0.743"
"00:46:20","-0.756"
"00:46:30","-0.770"
"00:46:40","-0.790"
"00:46:50","-0.770"
"00:47:00","-0.776"
"00:47:10","-0.803"
"00:47:20","-0.822"
"00:47:30","-0.825"
"00:47:40","-0.830"
"00:47:50","-0.830"
"00:48:00","-0.822"
"00:48:10","-0.811"
"00:48:20","-0.803"
"00:48:30","-0.823"
"00:48:40","-0.824"
"00:48:50","-0.817"
"00:49:00","-0.820"
"00:49:10","-0.819"
"00:49:20","-0.807"
"00:49:30","-0.805"
"00:49:40","-0.783"
"00:49:50","-0.783"
"00:50:00","-0.792"
"00:50:10","-0.790"
"00:50:20","-0.779"
"00:50:30","-0.780"
"00:50:40","-0.785"
"00:50:50","-0.823"
"00:51:00","-0.916"
"00:51:10","-1.111"
"00:51:20","-1.300"
"00:51:30","-1.461"
"00:51:40","-1.623"
"00:51:50","-1.867"
"00:52:00","-2.280"
"00:52:10","-2.543"
"00:52:20","-2.783"
"00:52:30","-2.947"
"00:52:40","-3.166"
"00:52:50","-3.126"
"00:53:00","-3.170"
"00:53:10","-3.109"
"00:53:20","-3.049"
"00:53:30","-3.032"
"00:53:40","-3.112"
"00:53:50","-3.107"
"00:54:00","-3.111"
"00:54:10","-3.092"
"00:54:20","-3.131"
"00:54:30","-3.222"
"00:54:40","-3.218"
"00:54:50","-3.202"
"00:55:00","-3.248"
"00:55:10","-3.222"
"00:55:20","-3.267"
"00:55:30","-3.269"
"00:55:40","-3.296"
"00:55:50","-3.275"
"00:56:00","-3.286"
"00:56:10","-3.326"
"00:56:20","-3.330"
"00:56:30","-3.338"
"00:56:40","-3.320"
"00:56:50","-3.293"
"00:57:00","-3.309"
"00:57:10","-3.309"
"00:57:20","-3.282"
"00:57:30","-3.319"
"00:57:40","-3.315"
"00:57:50","-3.311"
"00:58:00","-3.296"
"00:58:10","-3.299"
"00:58:20","-3.296"
"00:58:30","-3.287"
"00:58:40","-3.264"
"00:58:50","-3.260"
"00:59:00","-3.257"
"00:59:10","-3.247"
"00:59:20","-3.238"
"00:59:30","-3.224"
"00:59:40","-3.216"
"00:59:50","-3.213"
"01:00:00","-3.190"
"01:00:10","-3.171"
"01:00:20","-3.175"
"01:00:30","-3.176"
"01:00:40","-3.156"
"01:00:50","-3.134"
"01:01:00","-3.115"
"01:01:10","-3.143"
"01:01:20","-3.247"
"01:01:30","-3.423"
"01:01:40","-3.619"
"01:01:50","-3.797"
"01:02:00","-3.946"
"01:02:10","-4.153"
"01:02:20","-4.556"
"01:02:30","-4.940"
"01:02:40","-5.173"
"01:02:50","-5.302"
"01:03:00","-5.383"
"01:03:10","-5.450"
"01:03:20","-5.410"
"01:03:30","-5.273"
"01:03:40","-5.275"
"01:03:50","-5.253"
"01:04:00","-5.253"
"01:04:10","-5.315"
"01:04:20","-5.362"
"01:04:30","-5.400"
"01:04:40","-5.412"
"01:04:50","-5.394"
"01:05:00","-5.385"
"01:05:10","-5.419"
"01:05:20","-5.469"
"01:05:30","-5.450"
"01:05:40","-5.432"
"01:05:50","-5.420"
"01:06:00","-5.441"
"01:06:10","-5.435"
"01:06:20","-5.482"
"01:06:30","-5.485"
"01:06:40","-5.443"
"01:06:50","-5.415"
"01:07:00","-5.393"
"01:07:10","-5.396"
"01:07:20","-5.393"
"01:07:30","-5.359"
"01:07:40","-5.365"
"01:07:50","-5.358"
"01:08:00","-5.343"
"01:08:10","-5.331"
"01:08:20","-5.328"
"01:08:30","-5.320"
"01:08:40","-5.307"
"01:08:50","-5.281"
"01:09:00","-5.282"
"01:09:10","-5.254"
"01:09:20","-5.249"
"01:09:30","-5.237"
"01:09:40","-5.211"
"01:09:50","-5.192"
"01:10:00","-5.182"
"01:10:10","-5.163"
"01:10:20","-5.137"
"01:10:30","-5.127"
"01:10:40","-5.099"
"01:10:50","-5.079"
"01:11:00","-5.034"
"01:11:10","-5.021"
"01:11:20","-5.005"
"01:11:30","-5.005"
"01:11:40","-5.030"
"01:11:50","-5.102"
"01:12:00","-5.295"
"01:12:10","-5.484"
"01:12:20","-5.658"
"01:12:30","-5.802"
"01:12:40","-6.037"
"01:12:50","-6.327"
"01:13:00","-6.701"
"01:13:10","-6.833"
"01:13:20","-6.948"
"01:13:30","-7.119"
"01:13:40","-7.180"
"01:13:50","-7.221"
"01:14:00","-7.244"
"01:14:10","-7.156"
"01:14:20","-7.164"
"01:14:30","-7.234"
"01:14:40","-7.181"
"01:14:50","-7.115"
"01:15:00","-7.092"
"01:15:10","-7.076"
"01:15:20","-7.061"
"01:15:30","-7.037"
"01:15:40","-7.044"
"01:15:50","-7.060"
"01:16:00","-7.016"
"01:16:10","-7.032"
"01:16:20","-6.987"
"01:16:30","-6.955"
"01:16:40","-6.949"
"01:16:50","-6.960"
"01:17:00","-6.973"
"01:17:10","-6.941"
"01:17:20","-6.914"
"01:17:30","-6.880"
"01:17:40","-6.855"
"01:17:50","-6.849"
"01:18:00","-6.851"
"01:18:10","-6.834"
"01:18:20","-6.823"
"01:18:30","-6.802"
"01:18:40","-6.790"
"01:18:50","-6.767"
"01:19:00","-6.740"
"01:19:10","-6.716"
"01:19:20","-6.684"
"01:19:30","-6.658"
"01:19:40","-6.643"
"01:19:50","-6.617"
"01:20:00","-6.595"
"01:20:10","-6.580"
"01:20:20","-6.551"
"01:20:30","-6.526"
"01:20:40","-6.505"
"01:20:50","-6.484"
"01:21:00","-6.453"
"01:21:10","-6.420"
"01:21:20","-6.391"
"01:21:30","-6.370"
"01:21:40","-6.349"
"01:21:50","-6.319"
"01:22:00","-6.288"
"01:22:10","-6.298"
"01:22:20","-6.335"
"01:22:30","-6.487"
"01:22:40","-6.643"
"01:22:50","-6.816"
"01:23:00","-6.970"
"01:23:10","-7.167"
"01:23:20","-7.444"
"01:23:30","-7.695"
"01:23:40","-7.912"
"01:23:50","-8.059"
"01:24:00","-8.225"
"01:24:10","-8.179"
"01:24:20","-8.161"
"01:24:30","-8.148"
"01:24:40","-8.135"
"01:24:50","-8.114"
"01:25:00","-8.094"
"01:25:10","-8.113"
"01:25:20","-8.098"
"01:25:30","-8.116"
"01:25:40","-8.106"
"01:25:50","-8.087"
"01:26:00","-8.063"
"01:26:10","-8.076"
"01:26:20","-8.084"
"01:26:30","-8.057"
"01:26:40","-8.010"
"01:26:50","-7.969"
"01:27:00","-7.982"
"01:27:10","-7.981"
"01:27:20","-7.940"
"01:27:30","-7.914"
"01:27:40","-7.910"
"01:27:50","-7.862"
"01:28:00","-7.854"
"01:28:10","-7.830"
"01:28:20","-7.804"
"01:28:30","-7.782"
"01:28:40","-7.747"
"01:28:50","-7.726"
"01:29:00","-7.693"
"01:29:10","-7.675"
"01:29:20","-7.649"
"01:29:30","-7.609"
"01:29:40","-7.586"
"01:29:50","-7.558"
"01:30:00","-7.523"
"01:30:10","-7.506"
"01:30:20","-7.475"
"01:30:30","-7.455"
"01:30:40","-7.426"
"01:30:50","-7.399"
"01:31:00","-7.368"
"01:31:10","-7.338"
"01:31:20","-7.321"
"01:31:30","-7.281"
"01:31:40","-7.243"
"01:31:50","-7.212"
"01:32:00","-7.191"
"01:32:10","-7.164"
"01:32:20","-7.129"
"01:32:30","-7.094"
"01:32:40","-7.066"
"01:32:50","-7.069"
"01:33:00","-7.119"
"01:33:10","-7.235"
"01:33:20","-7.415"
"01:33:30","-7.591"
"01:33:40","-7.739"
"01:33:50","-7.916"
"01:34:00","-8.168"
"01:34:10","-8.469"
"01:34:20","-8.697"
"01:34:30","-8.825"
"01:34:40","-8.854"
"01:34:50","-8.948"
"01:35:00","-8.892"
"01:35:10","-8.867"
"01:35:20","-8.965"
"01:35:30","-8.913"
"01:35:40","-8.789"
"01:35:50","-8.782"
"01:36:00","-8.827"
"01:36:10","-8.731"
"01:36:20","-8.717"
"01:36:30","-8.698"
"01:36:40","-8.694"
"01:36:50","-8.684"
"01:37:00","-8.674"
"01:37:10","-8.664"
"01:37:20","-8.672"
"01:37:30","-8.634"
"01:37:40","-8.596"
"01:37:50","-8.566"
"01:38:00","-8.548"
"01:38:10","-8.552"
"01:38:20","-8.530"
"01:38:30","-8.485"
"01:38:40","-8.448"
"01:38:50","-8.409"
"01:39:00","-8.374"
"01:39:10","-8.355"
"01:39:20","-8.323"
"01:39:30","-8.291"
"01:39:40","-8.258"
"01:39:50","-8.239"
"01:40:00","-8.202"
"01:40:10","-8.164"
"01:40:20","-8.130"
"01:40:30","-8.092"
"01:40:40","-8.064"
"01:40:50","-8.037"
"01:41:00","-8.004"
"01:41:10","-7.976"
"01:41:20","-7.944"
"01:41:30","-7.910"
"01:41:40","-7.880"
"01:41:50","-7.850"
"01:42:00","-7.809"
"01:42:10","-7.767"
"01:42:20","-7.739"
"01:42:30","-7.702"
"01:42:40","-7.667"
"01:42:50","-7.640"
"01:43:00","-7.612"
"01:43:10","-7.589"
"01:43:20","-7.602"
"01:43:30","-7.668"
"01:43:40","-7.802"
"01:43:50","-7.995"
"01:44:00","-8.163"
"01:44:10","-8.339"
"01:44:20","-8.577"
"01:44:30","-8.859"
"01:44:40","-9.118"
"01:44:50","-9.320"
"01:45:00","-9.447"
"01:45:10","-9.460"
"01:45:20","-9.498"
"01:45:30","-9.530"
"01:45:40","-9.498"
"01:45:50","-9.479"
"01:46:00","-9.474"
"01:46:10","-9.423"
"01:46:20","-9.296"
"01:46:30","-9.224"
"01:46:40","-9.219"
"01:46:50","-9.232"
"01:47:00","-9.225"
"01:47:10","-9.209"
"01:47:20","-9.197"
"01:47:30","-9.176"
"01:47:40","-9.110"
"01:47:50","-9.091"
"01:48:00","-9.085"
"01:48:10","-9.061"
"01:48:20","-9.011"
"01:48:30","-8.976"
"01:48:40","-8.956"
"01:48:50","-8.930"
"01:49:00","-8.886"
"01:49:10","-8.849"
"01:49:20","-8.815"
"01:49:30","-8.772"
"01:49:40","-8.751"
"01:49:50","-8.721"
"01:50:00","-8.692"
"01:50:10","-8.659"
"01:50:20","-8.634"
"01:50:30","-8.598"
"01:50:40","-8.556"
"01:50:50","-8.527"
"01:51:00","-8.487"
"01:51:10","-8.450"
"01:51:20","-8.421"
"01:51:30","-8.404"
"01:51:40","-8.378"
"01:51:50","-8.332"
"01:52:00","-8.297"
"01:52:10","-8.248"
"01:52:20","-8.213"
"01:52:30","-8.186"
"01:52:40","-8.150"
"01:52:50","-8.121"
"01:53:00","-8.082"
"01:53:10","-8.033"
"01:53:20","-8.001"
"01:53:30","-7.983"
"01:53:40","-7.968"
"01:53:50","-7.983"
"01:54:00","-8.108"
"01:54:10","-8.262"
"01:54:20","-8.437"
"01:54:30","-8.605"
"01:54:40","-8.778"
"01:54:50","-8.993"
"01:55:00","-9.328"
"01:55:10","-9.559"
"01:55:20","-9.684"
"01:55:30","-9.798"
"01:55:40","-9.886"
"01:55:50","-9.838"
"01:56:00","-9.678"
"01:56:10","-9.623"
"01:56:20","-9.648"
"01:56:30","-9.638"
"01:56:40","-9.619"
"01:56:50","-9.628"
"01:57:00","-9.559"
"01:57:10","-9.530"
"01:57:20","-9.514"
"01:57:30","-9.480"
"01:57:40","-9.494"
"01:57:50","-9.479"
"01:58:00","-9.448"
"01:58:10","-9.386"
"01:58:20","-9.352"
"01:58:30","-9.346"
"01:58:40","-9.331"
"01:58:50","-9.309"
"01:59:00","-9.269"
"01:59:10","-9.242"
"01:59:20","-9.194"
"01:59:30","-9.150"
"01:59:40","-9.112"
"01:59:50","-9.087"
"02:00:00","-9.049"
"02:00:10","-9.019"
"02:00:20","-8.993"
"02:00:30","-8.951"
"02:00:40","-8.921"
"02:00:50","-8.883"
"02:01:00","-8.852"
"02:01:10","-8.815"
"02:01:20","-8.784"
"02:01:30","-8.746"
"02:01:40","-8.721"
"02:01:50","-8.673"
"02:02:00","-8.646"
"02:02:10","-8.611"
"02:02:20","-8.585"
"02:02:30","-8.558"
"02:02:40","-8.514"
"02:02:50","-8.468"
"02:03:00","-8.430"
"02:03:10","-8.384"
"02:03:20","-8.344"
"02:03:30","-8.302"
"02:03:40","-8.267"
"02:03:50","-8.219"
"02:04:00","-8.194"
"02:04:10","-8.217"
"02:04:20","-8.273"
"02:04:30","-8.389"
"02:04:40","-8.574"
"02:04:50","-8.754"
"02:05:00","-8.898"
"02:05:10","-9.082"
"02:05:20","-9.336"
"02:05:30","-9.575"
"02:05:40","-9.849"
"02:05:50","-10.022"
"02:06:00","-9.961"
"02:06:10","-9.971"
"02:06:20","-10.001"
"02:06:30","-9.954"
"02:06:40","-9.994"
"02:06:50","-10.019"
"02:07:00","-9.967"
"02:07:10","-9.946"
"02:07:20","-9.873"
"02:07:30","-9.823"
"02:07:40","-9.781"
"02:07:50","-9.739"
"02:08:00","-9.739"
"02:08:10","-9.712"
"02:08:20","-9.676"
"02:08:30","-9.646"
"02:08:40","-9.615"
"02:08:50","-9.594"
"02:09:00","-9.586"
"02:09:10","-9.538"
"02:09:20","-9.499"
"02:09:30","-9.481"
"02:09:40","-9.448"
"02:09:50","-9.400"
"02:10:00","-9.357"
"02:10:10","-9.323"
"02:10:20","-9.294"
"02:10:30","-9.261"
"02:10:40","-9.231"
"02:10:50","-9.189"
"02:11:00","-9.152"
"02:11:10","-9.132"
"02:11:20","-9.090"
"02:11:30","-9.034"
"02:11:40","-8.997"
"02:11:50","-8.964"
"02:12:00","-8.928"
"02:12:10","-8.895"
"02:12:20","-8.860"
"02:12:30","-8.829"
"02:12:40","-8.793"
"02:12:50","-8.756"
"02:13:00","-8.716"
"02:13:10","-8.681"
"02:13:20","-8.646"
"02:13:30","-8.588"
"02:13:40","-8.545"
"02:13:50","-8.525"
"02:14:00","-8.489"
"02:14:10","-8.451"
"02:14:20","-8.410"
"02:14:30","-8.345"
"02:14:40","-8.341"
"02:14:50","-8.379"
"02:15:00","-8.450"
"02:15:10","-8.627"
"02:15:20","-8.822"
"02:15:30","-8.987"
"02:15:40","-9.168"
"02:15:50","-9.396"
"02:16:00","-9.629"
"02:16:10","-9.861"
"02:16:20","-10.072"
"02:16:30","-10.186"
"02:16:40","-10.110"
"02:16:50","-10.069"
"02:17:00","-10.125"
"02:17:10","-10.077"
"02:17:20","-10.083"
"02:17:30","-10.006"
"02:17:40","-9.966"
"02:17:50","-10.021"
"02:18:00","-10.004"
"02:18:10","-9.952"
"02:18:20","-9.877"
"02:18:30","-9.848"
"02:18:40","-9.856"
"02:18:50","-9.839"
"02:19:00","-9.805"
"02:19:10","-9.783"
"02:19:20","-9.774"
"02:19:30","-9.743"
"02:19:40","-9.719"
"02:19:50","-9.678"
"02:20:00","-9.657"
"02:20:10","-9.617"
"02:20:20","-9.570"
"02:20:30","-9.528"
"02:20:40","-9.500"
"02:20:50","-9.471"
"02:21:00","-9.432"
"02:21:10","-9.411"
"02:21:20","-9.386"
"02:21:30","-9.341"
"02:21:40","-9.297"
"02:21:50","-9.248"
"02:22:00","-9.210"
"02:22:10","-9.169"
"02:22:20","-9.143"
"02:22:30","-9.096"
"02:22:40","-9.072"
"02:22:50","-9.033"
"02:23:00","-8.997"
"02:23:10","-8.964"
"02:23:20","-8.922"
"02:23:30","-8.888"
"02:23:40","-8.840"
"02:23:50","-8.792"
"02:24:00","-8.759"
"02:24:10","-8.735"
"02:24:20","-8.710"
"02:24:30","-8.663"
"02:24:40","-8.605"
"02:24:50","-8.572"
"02:25:00","-8.537"
"02:25:10","-8.517"
"02:25:20","-8.531"
"02:25:30","-8.602"
"02:25:40","-8.734"
"02:25:50","-8.913"
"02:26:00","-9.097"
"02:26:10","-9.268"
"02:26:20","-9.489"
"02:26:30","-9.757"
"02:26:40","-9.972"
"02:26:50","-10.161"
"02:27:00","-10.227"
"02:27:10","-10.273"
"02:27:20","-10.257"
"02:27:30","-10.321"
"02:27:40","-10.259"
"02:27:50","-10.184"
"02:28:00","-10.160"
"02:28:10","-10.165"
"02:28:20","-10.149"
"02:28:30","-10.107"
"02:28:40","-10.084"
"02:28:50","-10.021"
"02:29:00","-10.007"
"02:29:10","-9.978"
"02:29:20","-9.978"
"02:29:30","-9.951"
"02:29:40","-9.907"
"02:29:50","-9.874"
"02:30:00","-9.839"
"02:30:10","-9.815"
"02:30:20","-9.782"
"02:30:30","-9.744"
"02:30:40","-9.730"
"02:30:50","-9.704"
"02:31:00","-9.678"
"02:31:10","-9.647"
"02:31:20","-9.596"
"02:31:30","-9.570"
"02:31:40","-9.527"
"02:31:50","-9.505"
"02:32:00","-9.468"
"02:32:10","-9.433"
"02:32:20","-9.381"
"02:32:30","-9.337"
"02:32:40","-9.301"
"02:32:50","-9.260"
"02:33:00","-9.222"
"02:33:10","-9.188"
"02:33:20","-9.153"
"02:33:30","-9.111"
"02:33:40","-9.074"
"02:33:50","-9.055"
"02:34:00","-9.019"
"02:34:10","-8.971"
"02:34:20","-8.928"
"02:34:30","-8.886"
"02:34:40","-8.839"
"02:34:50","-8.801"
"02:35:00","-8.768"
"02:35:10","-8.712"
"02:35:20","-8.679"
"02:35:30","-8.656"
"02:35:40","-8.617"
"02:35:50","-8.621"
"02:36:00","-8.686"
"02:36:10","-8.809"
"02:36:20","-9.003"
"02:36:30","-9.166"
"02:36:40","-9.288"
"02:36:50","-9.496"
"02:37:00","-9.773"
"02:37:10","-10.046"
"02:37:20","-10.309"
"02:37:30","-10.434"
"02:37:40","-10.487"
"02:37:50","-10.466"
"02:38:00","-10.388"
"02:38:10","-10.387"
"02:38:20","-10.428"
"02:38:30","-10.399"
"02:38:40","-10.290"
"02:38:50","-10.279"
"02:39:00","-10.248"
"02:39:10","-10.195"
"02:39:20","-10.172"
"02:39:30","-10.154"
"02:39:40","-10.140"
"02:39:50","-10.082"
"02:40:00","-10.028"
"02:40:10","-9.979"
"02:40:20","-9.972"
"02:40:30","-9.957"
"02:40:40","-9.930"
"02:40:50","-9.930"
"02:41:00","-9.909"
"02:41:10","-9.874"
"02:41:20","-9.837"
"02:41:30","-9.796"
"02:41:40","-9.749"
"02:41:50","-9.708"
"02:42:00","-9.676"
"02:42:10","-9.656"
"02:42:20","-9.627"
"02:42:30","-9.577"
"02:42:40","-9.542"
"02:42:50","-9.505"
"02:43:00","-9.476"
"02:43:10","-9.435"
"02:43:20","-9.392"
"02:43:30","-9.351"
"02:43:40","-9.308"
"02:43:50","-9.270"
"02:44:00","-9.235"
"02:44:10","-9.216"
"02:44:20","-9.162"
"02:44:30","-9.121"
"02:44:40","-9.088"
"02:44:50","-9.046"
"02:45:00","-9.013"
"02:45:10","-8.969"
"02:45:20","-8.928"
"02:45:30","-8.890"
"02:45:40","-8.855"
"02:45:50","-8.806"
"02:46:00","-8.762"
"02:46:10","-8.733"
"02:46:20","-8.735"
"02:46:30","-8.783"
"02:46:40","-8.917"
"02:46:50","-9.079"
"02:47:00","-9.254"
"02:47:10","-9.399"
"02:47:20","-9.573"
"02:47:30","-9.772"
"02:47:40","-10.078"
"02:47:50","-10.316"
"02:48:00","-10.462"
"02:48:10","-10.544"
"02:48:20","-10.558"
"02:48:30","-10.576"
"02:48:40","-10.469"
"02:48:50","-10.495"
"02:49:00","-10.455"
"02:49:10","-10.401"
"02:49:20","-10.327"
"02:49:30","-10.312"
"02:49:40","-10.254"
"02:49:50","-10.183"
"02:50:00","-10.190"
"02:50:10","-10.163"
"02:50:20","-10.152"
"02:50:30","-10.116"
"02:50:40","-10.082"
"02:50:50","-10.063"
"02:51:00","-10.024"
"02:51:10","-10.003"
"02:51:20","-9.986"
"02:51:30","-9.969"
"02:51:40","-9.929"
"02:51:50","-9.893"
"02:52:00","-9.865"
"02:52:10","-9.826"
"02:52:20","-9.787"
"02:52:30","-9.759"
"02:52:40","-9.711"
"02:52:50","-9.676"
"02:53:00","-9.634"
"02:53:10","-9.600"
"02:53:20","-9.564"
"02:53:30","-9.521"
"02:53:40","-9.480"
"02:53:50","-9.445"
"02:54:00","-9.397"
"02:54:10","-9.355"
"02:54:20","-9.334"
"02:54:30","-9.280"
"02:54:40","-9.242"
"02:54:50","-9.208"
"02:55:00","-9.169"
"02:55:10","-9.136"
"02:55:20","-9.094"
"02:55:30","-9.051"
"02:55:40","-9.016"
"02:55:50","-8.973"
"02:56:00","-8.928"
"02:56:10","-8.894"
"02:56:20","-8.858"
"02:56:30","-8.801"
"02:56:40","-8.807"
"02:56:50","-8.874"
"02:57:00","-9.009"
"02:57:10","-9.189"
"02:57:20","-9.352"
"02:57:30","-9.521"
"02:57:40","-9.715"
"02:57:50","-9.935"
"02:58:00","-10.183"
"02:58:10","-10.390"
"02:58:20","-10.550"
"02:58:30","-10.567"
"02:58:40","-10.507"
"02:58:50","-10.497"
"02:59:00","-10.524"
"02:59:10","-10.585"
"02:59:20","-10.594"
"02:59:30","-10.490"
"02:59:40","-10.437"
"02:59:50","-10.413"
"03:00:00","-10.381"
"03:00:10","-10.337"
"03:00:20","-10.339"
"03:00:30","-10.349"
"03:00:40","-10.313"
"03:00:50","-10.258"
"03:01:00","-10.207"
"03:01:10","-10.190"
"03:01:20","-10.183"
"03:01:30","-10.136"
"03:01:40","-10.091"
"03:01:50","-10.066"
